participant_id,age,gender,income,education,employment,relationship_status,condition
1,38,female,91151,bachelors,student,single,control
2,22,male,79237,masters,full_time,divorced,control
3,44,non-binary,34000,bachelors,full_time,married,loneliness
4,46,female,63736,bachelors,full_time,married,control
5,18,female,58787,bachelors,student,in_relationship,loneliness
6,19,male,63138,bachelors,full_time,single,loneliness
7,36,male,99707,high_school,full_time,single,loneliness
8,31,male,63355,bachelors,full_time,divorced,control
9,34,male,87137,high_school,full_time,in_relationship,control
10,24,female,56800,bachelors,part_time,single,loneliness
11,45,female,66329,masters,full_time,single,loneliness
12,44,non-binary,84280,high_school,full_time,married,control
13,35,male,19535,high_school,full_time,single,control
14,48,male,43313,bachelors,part_time,married,control
15,40,male,38977,bachelors,full_time,married,loneliness
16,24,male,34640,masters,full_time,married,loneliness
17,39,male,44685,bachelors,full_time,in_relationship,control
18,23,male,154269,masters,unemployed,married,loneliness
19,45,male,29552,masters,retired,married,loneliness
20,34,female,106701,bachelors,part_time,married,control
